"","arrest_key","arrest_date","pd_cd","pd_desc","ky_cd","ofns_desc","law_code","law_cat_cd","arrest_boro","arrest_precinct","jurisdiction_code","age_group","perp_sex","perp_race","x_coord_cd","y_coord_cd","latitude","longitude"
"229",173130587,"2017-12-31T00:00:00.000",792,"WEAPONS POSSESSION 1 & 2",118,"DANGEROUS WEAPONS","PL 265031B","F","K",73,0,"25-44","M","BLACK",1009279,179175,40.6584435230001,-73.909791753
"230",173116534,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","B",43,0,"25-44","M","BLACK",1025519,242145,40.831219337,-73.850873158
"231",173133812,"2017-12-31T00:00:00.000",905,"INTOXICATED DRIVING,ALCOHOL",347,"INTOXICATED & IMPAIRED DRIVING","VTL11920U2","M","K",62,0,"25-44","M","WHITE",989542,159430,40.6042814570001,-73.980943455
"232",173142207,"2017-12-31T00:00:00.000",792,"WEAPONS POSSESSION 1 & 2",118,"DANGEROUS WEAPONS","PL 2650303","F","K",61,0,"18-24","F","WHITE",996175,158706,40.602287781,-73.95705743
"233",173113504,"2017-12-31T00:00:00.000",439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,"GRAND LARCENY","PL 1553001","F","B",44,0,"18-24","M","BLACK",1006537,244511,40.8377816180001,-73.919457971
"234",173113510,"2017-12-31T00:00:00.000",113,"MENACING,UNCLASSIFIED",344,"ASSAULT 3 & RELATED OFFENSES","PL 1201401","M","B",44,0,"18-24","M","BLACK",1006537,244511,40.8377816180001,-73.919457971
"235",173114462,"2017-12-31T00:00:00.000",782,"WEAPONS, POSSESSION, ETC",236,"DANGEROUS WEAPONS","PL 2650102","M","Q",115,0,"25-44","M","WHITE HISPANIC",1021994,213268,40.751975606,-73.863773236
"236",173116270,"2017-12-31T00:00:00.000",905,"INTOXICATED DRIVING,ALCOHOL",347,"INTOXICATED & IMPAIRED DRIVING","VTL11920U2","M","K",75,0,"25-44","M","BLACK",1012992,186298,40.6779832880001,-73.896378977
"237",173116276,"2017-12-31T00:00:00.000",397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,"ROBBERY","PL 1601001","F","Q",114,0,"25-44","M","WHITE HISPANIC",1006247,216075,40.759733297,-73.9205991549999
"238",173117302,"2017-12-31T00:00:00.000",905,"INTOXICATED DRIVING,ALCOHOL",347,"INTOXICATED & IMPAIRED DRIVING","VTL11920U2","M","K",69,0,"25-44","F","BLACK HISPANIC",1012373,170160,40.6336900210001,-73.898677929
"239",173126377,"2017-12-31T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200502","F","S",122,0,"45-64","M","BLACK",966544,157491,40.598943185,-74.0637606499999
"240",173119047,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","B",49,0,"25-44","M","WHITE HISPANIC",1027434,251387,40.856576728,-73.843893678
"241",173119695,"2017-12-31T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200502","F","M",9,0,"25-44","F","WHITE",987873,204316,40.7274843940001,-73.9869298799999
"242",173122734,"2017-12-31T00:00:00.000",705,"FORGERY,ETC.-MISD.",358,"OFFENSES INVOLVING FRAUD","PL 1702000","M","B",52,0,"18-24","M","BLACK HISPANIC",1009562,254560,40.865354981,-73.908487926
"243",173122739,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","K",84,0,"<18","F","WHITE HISPANIC",987004,191535,40.6924038870001,-73.990070406
"244",173122743,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","M",23,0,"18-24","M","WHITE HISPANIC",999833,228147,40.7928813930001,-73.943723688
"245",173126359,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B",52,0,"25-44","M","WHITE HISPANIC",1013582,256202,40.869849327,-73.8939467599999
"246",173126369,"2017-12-31T00:00:00.000",439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,"GRAND LARCENY","PL 1553004","F","M",1,0,"18-24","M","BLACK",981396,198608,40.711817586,-74.010296087
"247",173127007,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","M",14,0,"65+","M","BLACK",987873,212315,40.7494396700001,-73.9869255739999
"248",173127008,"2017-12-31T00:00:00.000",665,"TERRORIST THREAT",126,"MISCELLANEOUS PENAL LAW","PL 4902000","F","M",33,0,"45-64","M","WHITE HISPANIC",1000354,242831,40.833183943,-73.941806877
"249",173128434,"2017-12-31T00:00:00.000",705,"FORGERY,ETC.-MISD.",358,"OFFENSES INVOLVING FRAUD","PL 1702000","M","M",17,0,"18-24","F","WHITE",991195,212559,40.7501074050001,-73.974935795
"250",173119057,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","Q",106,0,"25-44","M","BLACK HISPANIC",1037011,188457,40.6837986690001,-73.809767473
"251",173117307,"2017-12-31T00:00:00.000",779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,"MISCELLANEOUS PENAL LAW","PL 2155100","F","Q",100,0,"25-44","F","WHITE HISPANIC",1034278,159535,40.604430033,-73.819835967
"252",173116268,"2017-12-31T00:00:00.000",649,"FALSE REPORT UNCLASSIFIED",361,"OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV","PL 2405001","M","B",52,0,"25-44","M","WHITE HISPANIC",1016563,256917,40.871801373,-73.883165026
"253",173116028,"2017-12-31T00:00:00.000",750,"RESISTING ARREST",359,"OFFENSES AGAINST PUBLIC ADMINISTRATION","PL 2053000","M","B",52,0,"18-24","M","BLACK HISPANIC",1013228,253750,40.863120505,-73.8952373069999
"254",173115843,"2017-12-31T00:00:00.000",639,"AGGRAVATED HARASSMENT 2",361,"OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV","PL 2403004","M","K",83,0,"45-64","M","WHITE HISPANIC",1008057,194042,40.6992534300001,-73.914143574
"255",173114461,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",115,0,"45-64","M","WHITE HISPANIC",1021994,213268,40.751975606,-73.863773236
"256",173113526,"2017-12-31T00:00:00.000",645,"FALSE ALARM FIRE",351,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 2405502","F","Q",110,0,"25-44","M","WHITE",1024818,213376,40.7522595340001,-73.85358003
"257",173113427,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","Q",105,0,"18-24","M","BLACK",1055241,204987,40.729041997,-73.743863818
"258",173113512,"2017-12-31T00:00:00.000",905,"INTOXICATED DRIVING,ALCOHOL",347,"INTOXICATED & IMPAIRED DRIVING","VTL11920U2","M","K",61,0,"25-44","M","WHITE HISPANIC",995122,155693,40.5940190590001,-73.960854316
"259",173113516,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","K",63,0,"18-24","M","BLACK",1004672,169892,40.6329755190001,-73.926424426
"260",173113517,"2017-12-31T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200501","F","K",70,0,"18-24","F","BLACK",996349,172033,40.6388673860001,-73.9564069429999
"261",173114450,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","K",88,0,"25-44","M","BLACK",994431,187342,40.680889635,-73.963294671
"262",173114465,"2017-12-31T00:00:00.000",462,"UNAUTHORIZED USE VEHICLE 3",353,"UNAUTHORIZED USE OF A VEHICLE 3 (UUV)","PL 1650501","M","Q",112,0,"25-44","F","BLACK",1027059,202029,40.7211043,-73.845563844
"263",173115851,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",6,0,"18-24","M","WHITE HISPANIC",986470,207011,40.734881973,-73.991990931
"264",173116038,"2017-12-31T00:00:00.000",759,"PUBLIC ADMINISTATION,UNCLASS MISDEMEAN 4",359,"OFFENSES AGAINST PUBLIC ADMINISTRATION","PL 1950500","M","Q",105,0,"25-44","M","WHITE HISPANIC",1057302,184509,40.6728181440001,-73.736649837
"265",173116272,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",101,0,"25-44","M","BLACK",1052134,158324,40.600987306,-73.755543744
"266",173117784,"2017-12-31T00:00:00.000",681,"CHILD, ENDANGERING WELFARE",233,"SEX CRIMES","PL 2601001","M","B",42,0,"25-44","F","BLACK",1008798,238971,40.8225699160001,-73.9113071689999
"267",173117790,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","M",23,0,"25-44","M","ASIAN / PACIFIC ISLANDER",1000448,227796,40.7919168860001,-73.941503472
"268",173119697,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","M",6,0,"25-44","M","BLACK",984037,205508,40.730756883,-74.000769976
"269",173120426,"2017-12-31T00:00:00.000",439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,"GRAND LARCENY","PL 1553001","F","M",19,0,"18-24","M","BLACK",992359,217816,40.7645355390001,-73.9707283879999
"270",173121856,"2017-12-31T00:00:00.000",439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,"GRAND LARCENY","PL 1553001","F","M",14,0,"<18","M","BLACK",987220,212676,40.7504307680001,-73.989282176
"271",173129127,"2017-12-31T00:00:00.000",905,"INTOXICATED DRIVING,ALCOHOL",347,"INTOXICATED & IMPAIRED DRIVING","VTL11920U3","M","K",81,0,"25-44","M","BLACK",1002235,188300,40.683506712,-73.935155429
"272",173142193,"2017-12-31T00:00:00.000",792,"WEAPONS POSSESSION 1 & 2",118,"DANGEROUS WEAPONS","PL 2650303","F","K",61,0,"25-44","M","BLACK",996175,158706,40.602287781,-73.95705743
"273",173148117,"2017-12-31T00:00:00.000",792,"WEAPONS POSSESSION 1 & 2",118,"DANGEROUS WEAPONS","PL 2650303","F","K",61,0,"25-44","M","BLACK",996175,158706,40.602287781,-73.95705743
"274",173145870,"2017-12-31T00:00:00.000",792,"WEAPONS POSSESSION 1 & 2",118,"DANGEROUS WEAPONS","PL 265031B","F","K",61,0,"18-24","F","BLACK",996175,158706,40.602287781,-73.95705743
"275",173133817,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",9,2,"18-24","F","WHITE HISPANIC",990592,202391,40.722199204,-73.9771217049999
"276",173129347,"2017-12-31T00:00:00.000",397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,"ROBBERY","PL 1600500","F","K",66,0,"18-24","M","WHITE",992096,172856,40.641131133,-73.971730178
"277",173129253,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",9,2,"18-24","M","WHITE HISPANIC",990592,202391,40.722199204,-73.9771217049999
"278",173129130,"2017-12-31T00:00:00.000",258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1456500","M","Q",104,0,"18-24","F","WHITE",1008555,201367,40.719357458,-73.9123211409999
"279",173128440,"2017-12-31T00:00:00.000",258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1456500","M","Q",104,0,"18-24","F","WHITE HISPANIC",1008555,201367,40.719357458,-73.9123211409999
"280",173121862,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",101,0,"25-44","M","BLACK",1051206,156204,40.595175415,-73.758906568
"281",173128427,"2017-12-31T00:00:00.000",792,"WEAPONS POSSESSION 1 & 2",118,"DANGEROUS WEAPONS","PL 265031B","F","K",73,0,"45-64","F","BLACK",1008228,183789,40.671110834,-73.913563363
"282",173124326,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","S",121,0,"45-64","F","WHITE",937077,149100,40.575803739,-74.169812399
"283",173124325,"2017-12-31T00:00:00.000",782,"WEAPONS, POSSESSION, ETC",236,"DANGEROUS WEAPONS","PL 2650101","M","Q",113,3,"18-24","F","ASIAN / PACIFIC ISLANDER",1046315,187088,40.679980738,-73.7762339069999
"284",173124316,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","K",71,0,"45-64","F","BLACK",1003292,180090,40.6609698950001,-73.9313675449999
"285",173123526,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","M",33,0,"18-24","M","BLACK HISPANIC",1000904,243515,40.8350603050001,-73.939817659
"286",173123521,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","B",47,0,"25-44","M","BLACK",1028759,256490,40.8705763180001,-73.839069997
"287",173122748,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",107,0,"25-44","M","BLACK HISPANIC",1036628,204948,40.7290647500001,-73.811020132
"288",173119052,"2017-12-31T00:00:00.000",729,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113,"FORGERY","PL 1702500","F","K",67,0,"25-44","M","BLACK",998340,171921,40.638557027,-73.94923331
"289",173119689,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","K",68,0,"25-44","M","WHITE",976973,165704,40.621500886,-74.026214732
"290",173129357,"2017-12-31T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200502","F","S",122,0,"18-24","M","BLACK",954827,148519,40.574285688,-74.105914405
"291",173119696,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","M",14,0,"<18","M","BLACK",987220,212676,40.7504307680001,-73.989282176
"292",173116275,"2017-12-31T00:00:00.000",112,"MENACING 1ST DEGREE (VICT NOT PEACE OFFICER)",126,"MISCELLANEOUS PENAL LAW","PL 1201300","F","Q",108,0,"25-44","M","WHITE HISPANIC",1007293,209962,40.7429519990001,-73.91684437
"293",173116538,"2017-12-31T00:00:00.000",244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,"BURGLARY","PL 1402000","F","Q",102,0,"<18","M","WHITE HISPANIC",1026285,187525,40.6812979800001,-73.848446644
"294",173116541,"2017-12-31T00:00:00.000",397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,"ROBBERY","PL 1601001","F","Q",114,0,"25-44","F","WHITE HISPANIC",1006579,215870,40.7591697930001,-73.91940142
"295",173116542,"2017-12-31T00:00:00.000",905,"INTOXICATED DRIVING,ALCOHOL",347,"INTOXICATED & IMPAIRED DRIVING","VTL11920U3","M","Q",110,0,"18-24","M","UNKNOWN",1020974,209670,40.7421043040001,-73.8674743299999
"296",173119687,"2017-12-31T00:00:00.000",114,"OBSTR BREATH/CIRCUL",344,"ASSAULT 3 & RELATED OFFENSES","PL 1211100","M","B",40,0,"25-44","M","BLACK",1007951,238554,40.821427682,-73.9143689319999
"297",173119692,"2017-12-31T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200502","F","M",9,2,"25-44","F","WHITE HISPANIC",991641,203214,40.724457326,-73.9733363729999
"298",173119699,"2017-12-31T00:00:00.000",113,"MENACING,UNCLASSIFIED",344,"ASSAULT 3 & RELATED OFFENSES","PL 1201401","M","M",23,2,"25-44","M","WHITE HISPANIC",998753,230407,40.799086317,-73.947619211
"299",173122747,"2017-12-31T00:00:00.000",113,"MENACING,UNCLASSIFIED",344,"ASSAULT 3 & RELATED OFFENSES","PL 1201401","M","Q",101,0,"25-44","M","BLACK",1051206,156204,40.595175415,-73.758906568
"300",173124315,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K",67,0,"45-64","M","BLACK",1006507,175414,40.648127802,-73.9197950189999
"301",173124319,"2017-12-31T00:00:00.000",567,"MARIJUANA, POSSESSION 4 & 5",235,"DANGEROUS DRUGS","PL 2211001","M","M",9,2,"18-24","M","WHITE HISPANIC",990378,204681,40.72848485,-73.977891659
"302",173127724,"2017-12-31T00:00:00.000",567,"MARIJUANA, POSSESSION 4 & 5",235,"DANGEROUS DRUGS","PL 2211001","M","K",79,2,"25-44","M","BLACK",997415,193307,40.6972582550001,-73.952524446
"303",173127725,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K",73,0,"<18","F","WHITE HISPANIC",1007583,182993,40.668927716,-73.915891272
"304",173128426,"2017-12-31T00:00:00.000",397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,"ROBBERY","PL 1601001","F","B",47,0,"<18","M","BLACK",1024906,263255,40.8891627080001,-73.852960227
"305",173128441,"2017-12-31T00:00:00.000",905,"INTOXICATED DRIVING,ALCOHOL",347,"INTOXICATED/IMPAIRED DRIVING","VTL119202U","F","S",121,0,"45-64","M","WHITE",939161,159597,40.604626704,-74.162380586
"306",173129341,"2017-12-31T00:00:00.000",114,"OBSTR BREATH/CIRCUL",344,"ASSAULT 3 & RELATED OFFENSES","PL 1211100","M","B",45,2,"25-44","M","WHITE HISPANIC",1032218,239444,40.8237720330001,-73.826685244
"307",173133810,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K",62,0,"25-44","M","BLACK",987016,161801,40.6107905150001,-73.990039323
"308",173134325,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","M",6,0,"45-64","F","WHITE",981723,207457,40.736106051,-74.0091198919999
"309",173116155,"2017-12-31T00:00:00.000",750,"RESISTING ARREST",359,"OFFENSES AGAINST PUBLIC ADMINISTRATION","PL 2053000","M","M",14,7,"25-44","M","BLACK HISPANIC",986320,212857,40.750927823,-73.992530384
"310",173116151,"2017-12-31T00:00:00.000",269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1450502","F","K",61,0,"25-44","M","WHITE",999349,151919,40.5836539900001,-73.94564247
"311",173113525,"2017-12-31T00:00:00.000",508,"DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2",235,"DANGEROUS DRUGS","PL 2205002","M","Q",101,0,"25-44","M","WHITE",1053676,161167,40.608778785,-73.749961641
"312",173126363,"2017-12-31T00:00:00.000",681,"CHILD, ENDANGERING WELFARE",233,"SEX CRIMES","PL 2601001","M","K",77,0,"25-44","M","BLACK",1003606,185050,40.6745833080001,-73.930221541
"313",173120425,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","M",1,0,"25-44","F","BLACK",984722,202914,40.7236369730001,-73.998298598
"314",173121079,"2017-12-31T00:00:00.000",113,"MENACING,UNCLASSIFIED",344,"ASSAULT 3 & RELATED OFFENSES","PL 1201401","M","K",61,2,"45-64","F","ASIAN / PACIFIC ISLANDER",1001352,156950,40.5974594400001,-73.938418599
"315",173121850,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","B",43,0,"25-44","M","WHITE HISPANIC",1017650,242130,40.8312114290001,-73.879308351
"316",173121852,"2017-12-31T00:00:00.000",439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,"GRAND LARCENY","PL 1553004","F","B",42,0,"25-44","M","WHITE HISPANIC",1008691,238872,40.822298485,-73.9116941309999
"317",173121861,"2017-12-31T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1200501","F","Q",101,0,"18-24","F","BLACK",1052224,157329,40.5982555530001,-73.755229658
"318",173122746,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",109,0,"45-64","M","WHITE HISPANIC",1039146,217066,40.7623102750001,-73.801836238
"319",173124312,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","K",61,0,"25-44","M","BLACK",1000933,154465,40.590639412,-73.939933517
"320",173126367,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","M",14,0,"45-64","M","BLACK HISPANIC",987220,212676,40.7504307680001,-73.989282176
"321",173113425,"2017-12-31T00:00:00.000",567,"MARIJUANA, POSSESSION 4 & 5",235,"DANGEROUS DRUGS","PL 2211001","M","Q",114,0,"18-24","M","BLACK",999113,214335,40.7549723110001,-73.946354503
"322",173127005,"2017-12-31T00:00:00.000",567,"MARIJUANA, POSSESSION 4 & 5",235,"DANGEROUS DRUGS","PL 2211001","M","M",9,2,"25-44","M","WHITE HISPANIC",990200,202463,40.722397099,-73.978535842
"323",173127006,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","M",19,0,"45-64","F","BLACK",993570,216847,40.7618746900001,-73.966358084
"324",173128436,"2017-12-31T00:00:00.000",259,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",351,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1450001","M","M",33,0,"25-44","F","WHITE HISPANIC",999340,244431,40.837577271,-73.94546754
"325",173128439,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",109,0,"25-44","M","WHITE HISPANIC",1031777,220706,40.7723437980001,-73.828411262
"326",173129129,"2017-12-31T00:00:00.000",269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1450502","F","Q",108,0,"25-44","M","WHITE",1008536,212085,40.7487757740001,-73.912350996
"327",173129255,"2017-12-31T00:00:00.000",109,"ASSAULT 2,1,UNCLASSIFIED",106,"FELONY ASSAULT","PL 1201001","F","Q",101,0,"45-64","M","WHITE HISPANIC",1053494,161530,40.609776567,-73.750613393
"328",173130588,"2017-12-31T00:00:00.000",792,"WEAPONS POSSESSION 1 & 2",118,"DANGEROUS WEAPONS","PL 265031B","F","K",67,0,"18-24","M","BLACK",1000995,172139,40.639150769,-73.9396664559999
"329",173114447,"2017-12-31T00:00:00.000",258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,"CRIMINAL MISCHIEF & RELATED OFFENSES","PL 1456002","M","B",40,0,"18-24","M","BLACK HISPANIC",1006075,236932,40.8169805840001,-73.921152255
"330",173130579,"2017-12-31T00:00:00.000",105,"STRANGULATION 1ST",106,"FELONY ASSAULT","PL 1211200","F","B",44,0,"25-44","M","WHITE HISPANIC",1005997,245969,40.8417847490001,-73.92140476
"331",173115850,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K",94,0,"25-44","M","WHITE",1000710,200018,40.7156728510001,-73.940625272
"332",173127009,"2017-12-31T00:00:00.000",397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,"ROBBERY","PL 1601503","F","M",6,0,"25-44","M","BLACK",982360,206571,40.733674357,-74.006821088
"333",173113422,"2017-12-31T00:00:00.000",905,"INTOXICATED DRIVING,ALCOHOL",347,"INTOXICATED & IMPAIRED DRIVING","VTL11920U2","M","M",33,0,"18-24","M","WHITE HISPANIC",998297,243964,40.836297212,-73.9492378259999
"334",173115845,"2017-12-31T00:00:00.000",114,"OBSTR BREATH/CIRCUL",344,"ASSAULT 3 & RELATED OFFENSES","PL 1211100","M","K",73,0,"18-24","M","BLACK",1010535,183093,40.669193922,-73.9052495989999
"335",173115858,"2017-12-31T00:00:00.000",729,"FORGERY,ETC.,UNCLASSIFIED-FELONY",113,"FORGERY","PL 1704002","F","Q",113,0,"25-44","M","BLACK",1046397,184268,40.6722399230001,-73.77596427
"336",173116277,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","Q",105,0,"25-44","M","WHITE HISPANIC",1057302,184509,40.6728181440001,-73.736649837
"337",173117786,"2017-12-31T00:00:00.000",439,"LARCENY,GRAND FROM OPEN AREAS,",109,"GRAND LARCENY","PL 1553501","F","K",70,0,"25-44","F","WHITE HISPANIC",995899,174296,40.645079439,-73.9580244539999
"338",173119688,"2017-12-31T00:00:00.000",439,"LARCENY,GRAND FROM OPEN AREAS,",109,"GRAND LARCENY","PL 1553501","F","K",70,0,"<18","M","WHITE HISPANIC",995899,174296,40.645079439,-73.9580244539999
"339",173120420,"2017-12-31T00:00:00.000",567,"MARIJUANA, POSSESSION 4 & 5",235,"DANGEROUS DRUGS","PL 2211001","M","B",43,2,"25-44","F","WHITE HISPANIC",1021815,236899,40.8168371,-73.864287157
"340",173121854,"2017-12-31T00:00:00.000",101,"ASSAULT 3",344,"ASSAULT 3 & RELATED OFFENSES","PL 1200001","M","K",62,0,"25-44","M","WHITE",982099,158355,40.6013321180001,-74.0077474559999
"341",173121857,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,"VEHICLE AND TRAFFIC LAWS","VTL0511001","M","M",23,0,"25-44","F","WHITE HISPANIC",999833,228147,40.7928813930001,-73.943723688
"342",173122740,"2017-12-31T00:00:00.000",922,"TRAFFIC,UNCLASSIFIED MISDEMEANOR",348,"VEHICLE AND TRAFFIC LAWS","VTL05110A4","M","M",18,0,"45-64","M","BLACK",989217,219256,40.76849029,-73.982069778
"343",173126362,"2017-12-31T00:00:00.000",782,"WEAPONS, POSSESSION, ETC",236,"DANGEROUS WEAPONS","PL 2650102","M","K",71,0,"45-64","F","BLACK",1003292,180090,40.6609698950001,-73.9313675449999
"344",173126366,"2017-12-31T00:00:00.000",969,"TRAFFIC,UNCLASSIFIED INFRACTION",881,"OTHER TRAFFIC INFRACTION","VTL051101A","M","M",5,0,"25-44","M","WHITE",985337,200206,40.716204109,-73.996080279
"345",173126376,"2017-12-31T00:00:00.000",339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,"PETIT LARCENY","PL 1552500","M","S",121,0,"45-64","M","BLACK",947029,167436,40.6261796580001,-74.1340887979999
